,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
line258,252,259,(2.869843666666666e-05+1.2183843333333331e-05j),(2.8698436666666664e-05+1.2183843333333331e-05j),(2.8698436666666668e-05+1.2183843333333333e-05j),(1.3280966666666665e-05+4.908183333333328e-07j),(1.3280966666666667e-05+4.908183333333305e-07j),(1.3280966666666664e-05+4.908183333333322e-07j),0j,0j,0j,0j,0j,0j
line259,253,260,(0.0020699+0.00015612959999999998j),(0.0020699000000000004+0.0001561296j),(0.0020699+0.00015612960000000006j),(2.957000000000003e-05+4.780013135228819e-22j),(2.9570000000000017e-05+4.780013135228819e-22j),(2.957000000000003e-05+4.781878955253332e-22j),0j,0j,0j,0j,0j,0j
line260,254,261,(0.0001600666666666666+1.2073599999999997e-05j),(0.00016006666666666666+1.20736e-05j),(0.00016006666666666666+1.20736e-05j),(2.2866666666666688e-06+2.28676823001062e-23j),(2.286666666666668e-06-4.57353646002124e-23j),(2.2866666666666683e-06-4.575321684385388e-23j),0j,0j,0j,0j,0j,0j
line261,255,262,(0.0007356999999999998+5.549279999999997e-05j),(0.0007356999999999999+5.5492800000000005e-05j),(0.0007356999999999999+5.549280000000002e-05j),(1.051000000000001e-05+2.41541558605913e-22j),(1.051000000000001e-05+1.207707793029565e-22j),(1.0510000000000008e-05+1.208179207086441e-22j),0j,0j,0j,0j,0j,0j
line262,256,263,(0.0016138965333333335+0.00024095999999999997j),(0.0016138965333333333+0.00024095999999999994j),(0.0016138965333333335+0.00024095999999999997j),(0.0007335893333333335+6.425600000000012e-06j),(0.0007335893333333335+6.425600000000012e-06j),(0.0007335893333333331+6.425600000000002e-06j),0j,0j,0j,0j,0j,0j
line263,257,264,(0.005891666666666666+0.0004444j),(0.005891666666666668+0.00044440000000000007j),(0.005891666666666666+0.0004443999999999998j),(8.416666666666674e-05+0j),(8.416666666666672e-05+9.68159040375228e-22j),(8.416666666666673e-05-1.937073898976617e-21j),0j,0j,0j,0j,0j,0j
line264,258,265,(0.00018810166666666665+1.4188239999999999e-05j),(0.0001881016666666667+1.4188240000000005e-05j),(0.00018810166666666662+1.4188239999999993e-05j),(2.687166666666669e-06+0j),(2.6871666666666686e-06+6.315905608553755e-23j),(2.6871666666666686e-06+0j),0j,0j,0j,0j,0j,0j
line265,259,266,(3.2198973333333324e-05+1.366998666666667e-05j),(3.219897333333333e-05+1.366998666666667e-05j),(3.219897333333333e-05+1.3669986666666664e-05j),(1.4900933333333332e-05+5.506866666666673e-07j),(1.4900933333333332e-05+5.506866666666658e-07j),(1.4900933333333332e-05+5.50686666666667e-07j),0j,0j,0j,0j,0j,0j
line266,260,267,(0.00048311666666666666+3.6440800000000005e-05j),(0.00048311666666666666+3.6440800000000005e-05j),(0.00048311666666666666+3.6440799999999985e-05j),(6.901666666666672e-06+0j),(6.901666666666674e-06+1.0415842219972855e-22j),(6.901666666666672e-06+0j),0j,0j,0j,0j,0j,0j
line267,261,268,(0.0040341000000000005+0.0003042864000000001j),(0.0040341+0.00030428640000000005j),(0.004034099999999999+0.0003042864j),(5.763000000000006e-05+9.078073287258241e-22j),(5.763000000000005e-05+0j),(5.763000000000005e-05-9.08161680281859e-22j),0j,0j,0j,0j,0j,0j
line268,261,269,(0.00013849499999999995+1.0446479999999998e-05j),(0.00013849499999999998+1.044648e-05j),(0.00013849499999999995+1.0446479999999996e-05j),(1.9785000000000015e-06+5.135819972835491e-23j),(1.978500000000001e-06+1.7119399909451638e-23j),(1.9785000000000006e-06-5.1378246777341005e-23j),0j,0j,0j,0j,0j,0j
line269,262,270,(0.00033822833333333336+2.551208e-05j),(0.0003382283333333333+2.5512079999999994e-05j),(0.0003382283333333332+2.5512079999999988e-05j),(4.831833333333337e-06-5.1051713509334284e-23j),(4.831833333333337e-06-1.0210342701866857e-22j),(4.831833333333335e-06-5.107164092515022e-23j),0j,0j,0j,0j,0j,0j
line270,263,271,(0.004963816666666664+0.0003744135999999998j),(0.004963816666666665+0.0003744135999999999j),(0.004963816666666664+0.0003744135999999999j),(7.091166666666671e-05+6.872295660062242e-22j),(7.09116666666667e-05+2.748918264024897e-21j),(7.09116666666667e-05+6.874978177137859e-22j),0j,0j,0j,0j,0j,0j
line271,263,272,(0.0005421181333333333+8.093999999999993e-05j),(0.0005421181333333333+8.093999999999997e-05j),(0.0005421181333333334+8.093999999999998e-05j),(0.0002464173333333333+2.1583999999999678e-06j),(0.0002464173333333333+2.1583999999999767e-06j),(0.00024641733333333334+2.158399999999987e-06j),0j,0j,0j,0j,0j,0j
line272,265,273,(0.00019590666666666667+1.4776960000000005e-05j),(0.00019590666666666662+1.4776959999999998e-05j),(0.00019590666666666662+1.4776959999999995e-05j),(2.7986666666666687e-06+3.425459036472568e-23j),(2.7986666666666687e-06+0j),(2.7986666666666687e-06+3.426796122769734e-23j),0j,0j,0j,0j,0j,0j
line273,266,274,(2.963445333333333e-05+1.2581226666666663e-05j),(2.9634453333333334e-05+1.2581226666666668e-05j),(2.963445333333334e-05+1.258122666666667e-05j),(1.3714133333333336e-05+5.068266666666666e-07j),(1.3714133333333336e-05+5.068266666666642e-07j),(1.3714133333333336e-05+5.068266666666644e-07j),0j,0j,0j,0j,0j,0j
line274,267,275,(0.00022132833333333323+1.669447999999999e-05j),(0.0002213283333333333+1.669448e-05j),(0.0002213283333333333+1.6694480000000003e-05j),(3.1618333333333355e-06-1.3116429521549965e-22j),(3.161833333333336e-06-4.372143173849988e-23j),(3.1618333333333367e-06+0j),0j,0j,0j,0j,0j,0j
line275,268,276,(0.0039979333333333335+0.0003015584000000001j),(0.003997933333333334+0.0003015584000000002j),(0.0039979333333333335+0.00030155840000000003j),(5.711333333333341e-05+8.916028766438411e-22j),(5.711333333333339e-05-2.6748086299315233e-21j),(5.7113333333333395e-05-1.7839018059779543e-21j),0j,0j,0j,0j,0j,0j
line276,269,277,(0.0001623766666666667+1.2247840000000003e-05j),(0.00016237666666666666+1.2247840000000001e-05j),(0.00016237666666666663+1.2247839999999998e-05j),(2.3196666666666696e-06+2.3532474216501846e-23j),(2.3196666666666696e-06+4.706494843300369e-23j),(2.3196666666666687e-06+2.3541659831766345e-23j),0j,0j,0j,0j,0j,0j
line277,270,278,(0.0004017183333333333+3.0301039999999996e-05j),(0.0004017183333333334+3.030104e-05j),(0.0004017183333333333+3.030104000000001e-05j),(5.738833333333339e-06-2.1605031876163844e-22j),(5.7388333333333385e-06+0j),(5.738833333333338e-06+0j),0j,0j,0j,0j,0j,0j
line278,271,279,(0.00036081499999999995+2.721575999999999e-05j),(0.00036081499999999995+2.7215759999999995e-05j),(0.00036081499999999995+2.721576000000001e-05j),(5.154500000000004e-06-1.161955553287255e-22j),(5.154500000000005e-06+1.161955553287255e-22j),(5.1545000000000055e-06+2.324818217026964e-22j),0j,0j,0j,0j,0j,0j
line279,272,280,(0.0019651782333333333+0.0002934074999999999j),(0.0019651782333333333+0.0002934074999999999j),(0.001965178233333333+0.0002934074999999999j),(0.0008932628333333331+7.824199999999994e-06j),(0.000893262833333333+7.824199999999994e-06j),(0.0008932628333333329+7.824199999999975e-06j),0j,0j,0j,0j,0j,0j
line280,273,281,(0.0007449633333333333+5.6191519999999994e-05j),(0.0007449633333333334+5.619152000000001e-05j),(0.0007449633333333334+5.619152000000001e-05j),(1.0642333333333345e-05+0j),(1.0642333333333343e-05-4.95324880055964e-22j),(1.0642333333333343e-05-3.7163866807652797e-22j),0j,0j,0j,0j,0j,0j
line281,274,282,(0.00010029791333333335+4.2581206666666654e-05j),(0.00010029791333333331+4.2581206666666654e-05j),(0.00010029791333333333+4.258120666666667e-05j),(4.641553333333333e-05+1.7153566666666654e-06j),(4.6415533333333336e-05+1.715356666666669e-06j),(4.6415533333333336e-05+1.7153566666666686e-06j),0j,0j,0j,0j,0j,0j
line282,275,283,(0.00014550666666666664+1.0975359999999999e-05j),(0.00014550666666666667+1.097536e-05j),(0.00014550666666666667+1.097536e-05j),(2.0786666666666684e-06+1.8896707101443936e-23j),(2.078666666666668e-06+3.779341420288787e-23j),(2.078666666666668e-06-5.671224960409362e-23j),0j,0j,0j,0j,0j,0j
line283,277,284,(0.0001467433333333333+1.1068640000000002e-05j),(0.0001467433333333333+1.1068640000000004e-05j),(0.0001467433333333333+1.1068640000000002e-05j),(2.0963333333333353e-06-1.9219279737056395e-23j),(2.0963333333333353e-06-3.843855947411279e-23j),(2.0963333333333353e-06+0j),0j,0j,0j,0j,0j,0j
line284,278,285,(0.0006198033333333333+4.675087999999999e-05j),(0.0006198033333333333+4.6750880000000005e-05j),(0.0006198033333333332+4.675087999999999e-05j),(8.854333333333338e-06-8.57172386095541e-23j),(8.854333333333338e-06-8.57172386095541e-23j),(8.854333333333338e-06+0j),0j,0j,0j,0j,0j,0j
line285,279,286,(0.0002973949999999999+2.2432079999999993e-05j),(0.000297395+2.2432080000000007e-05j),(0.00029739500000000005+2.2432080000000004e-05j),(4.248500000000002e-06+3.946914126381912e-23j),(4.2485000000000035e-06+3.946914126381912e-23j),(4.2485000000000035e-06-7.8969095126699e-23j),0j,0j,0j,0j,0j,0j
line286,280,287,(0.0014729432666666662+0.00014092073333333327j),(0.0014729432666666664+0.00014092073333333332j),(0.0014729432666666664+0.00014092073333333337j),(0.0006502234666666665+9.355733333333314e-06j),(0.0006502234666666666+9.355733333333365e-06j),(0.0006502234666666666+9.355733333333365e-06j),0j,0j,0j,0j,0j,0j
line287,280,288,(0.00045866047333333325+6.847950000000001e-05j),(0.00045866047333333314+6.847949999999996e-05j),(0.0004586604733333332+6.847949999999996e-05j),(0.00020848203333333315+1.8261200000000096e-06j),(0.00020848203333333323+1.8261200000000162e-06j),(0.00020848203333333323+1.8261199999999997e-06j),0j,0j,0j,0j,0j,0j
line288,281,289,(0.003955116666666666+0.0002983288j),(0.003955116666666666+0.00029832880000000005j),(0.003955116666666666+0.00029832879999999994j),(5.650166666666672e-05-8.72607542743427e-22j),(5.650166666666673e-05-8.72607542743427e-22j),(5.650166666666672e-05+0j),0j,0j,0j,0j,0j,0j
line289,282,290,(0.00013426289333333332+5.700094666666665e-05j),(0.00013426289333333332+5.700094666666667e-05j),(0.00013426289333333332+5.700094666666668e-05j),(6.213373333333333e-05+2.296246666666656e-06j),(6.213373333333332e-05+2.296246666666662e-06j),(6.213373333333332e-05+2.2962466666666634e-06j),0j,0j,0j,0j,0j,0j
line290,283,291,(0.0010222099999999997+7.710384e-05j),(0.0010222100000000002+7.710384e-05j),(0.00102221+7.710384e-05j),(1.4603000000000014e-05-4.663055695843507e-22j),(1.460300000000001e-05+4.663055695843507e-22j),(1.4603000000000012e-05+6.997313794429828e-22j),0j,0j,0j,0j,0j,0j
line291,283,292,(0.00012608166666666664+9.51016e-06j),(0.00012608166666666664+9.51016e-06j),(0.00012608166666666664+9.510159999999998e-06j),(1.801166666666668e-06-2.837619930433532e-23j),(1.801166666666668e-06+2.837619930433532e-23j),(1.801166666666668e-06+2.8387275608810596e-23j),0j,0j,0j,0j,0j,0j
line292,284,293,(0.00014862166666666663+1.121032e-05j),(0.00014862166666666665+1.1210320000000001e-05j),(0.00014862166666666663+1.1210319999999998e-05j),(2.123166666666668e-06-1.9714447137329016e-23j),(2.123166666666668e-06+5.914334141198705e-23j),(2.123166666666668e-06+0j),0j,0j,0j,0j,0j,0j
line293,285,294,(0.0005522883333333332+4.1658319999999995e-05j),(0.0005522883333333333+4.1658320000000016e-05j),(0.0005522883333333331+4.165831999999999e-05j),(7.88983333333334e-06+1.3612004708398341e-22j),(7.889833333333337e-06+0j),(7.889833333333337e-06-1.3617317988977329e-22j),0j,0j,0j,0j,0j,0j
line294,286,295,(0.0004224266666666666+3.186303999999999e-05j),(0.0004224266666666667+3.1863040000000006e-05j),(0.0004224266666666666+3.186303999999999e-05j),(6.0346666666666725e-06-1.5926597345956547e-22j),(6.034666666666672e-06-1.5926597345956547e-22j),(6.034666666666671e-06-7.966407049818439e-23j),0j,0j,0j,0j,0j,0j
line295,287,296,(0.0006779636600000001+6.486274000000003e-05j),(0.00067796366+6.486273999999997e-05j),(0.0006779636600000001+6.486274e-05j),(0.00029928368000000006+4.306240000000006e-06j),(0.0002992836800000001+4.30624000000002e-06j),(0.00029928368000000006+4.306240000000006e-06j),0j,0j,0j,0j,0j,0j
line296,288,297,(0.0019222287333333333+0.00028699499999999996j),(0.0019222287333333333+0.00028699499999999996j),(0.001922228733333333+0.00028699499999999985j),(0.0008737403333333332+7.653199999999974e-06j),(0.0008737403333333332+7.653199999999947e-06j),(0.0008737403333333332+7.653199999999905e-06j),0j,0j,0j,0j,0j,0j
line297,291,298,(0.00046956+3.541824000000001e-05j),(0.00046956+3.5418239999999995e-05j),(0.00046955999999999983+3.541823999999999e-05j),(6.708000000000006e-06+0j),(6.708000000000003e-06+9.839488901025572e-23j),(6.708000000000002e-06-9.843329625915464e-23j),0j,0j,0j,0j,0j,0j
line298,292,299,(8.923249999999997e-05+6.7306799999999975e-06j),(8.92325e-05+6.730680000000001e-06j),(8.92325e-05+6.730679999999999e-06j),(1.274750000000001e-06+0j),(1.274750000000001e-06+0j),(1.2747500000000012e-06+0j),0j,0j,0j,0j,0j,0j
line299,293,300,(0.0001597983333333333+1.2053359999999998e-05j),(0.00015979833333333335+1.2053360000000004e-05j),(0.00015979833333333332+1.2053360000000001e-05j),(2.282833333333335e-06+2.2791076492527594e-23j),(2.282833333333335e-06-2.2791076492527594e-23j),(2.2828333333333355e-06-4.559994542440504e-23j),0j,0j,0j,0j,0j,0j
line300,294,301,(0.0004293916666666665+3.238839999999998e-05j),(0.00042939166666666664+3.23884e-05j),(0.00042939166666666664+3.23884e-05j),(6.134166666666671e-06-1.645612476353088e-22j),(6.134166666666671e-06-8.22806238176544e-23j),(6.134166666666672e-06+1.6462548211802065e-22j),0j,0j,0j,0j,0j,0j
line301,295,302,(0.0018973500000000003+0.0001431144j),(0.00189735+0.0001431144j),(0.0018973499999999997+0.00014311440000000004j),(2.710500000000003e-05+8.032583704735458e-22j),(2.7105000000000023e-05+0j),(2.7105000000000023e-05+0j),0j,0j,0j,0j,0j,0j
line302,296,303,(0.0044289058000000015+0.0004237262000000003j),(0.004428905800000001+0.00042372620000000004j),(0.004428905800000001+0.00042372620000000004j),(0.001955118400000001+2.813120000000002e-05j),(0.0019551184000000006+2.8131199999999982e-05j),(0.0019551184000000006+2.813119999999995e-05j),0j,0j,0j,0j,0j,0j
line303,297,304,(0.00042431091999999986+6.335099999999997e-05j),(0.00042431091999999996+6.335099999999998e-05j),(0.00042431091999999996+6.335099999999996e-05j),(0.00019286859999999992+1.6893599999999964e-06j),(0.00019286859999999992+1.689359999999991e-06j),(0.00019286859999999997+1.6893600000000043e-06j),0j,0j,0j,0j,0j,0j
line304,298,305,(0.0007947216666666664+5.9944720000000004e-05j),(0.0007947216666666665+5.9944720000000004e-05j),(0.0007947216666666665+5.994471999999999e-05j),(1.1353166666666677e-05+1.4092578527453095e-22j),(1.1353166666666677e-05-1.4092578527453095e-22j),(1.1353166666666673e-05-4.2294238182542383e-22j),0j,0j,0j,0j,0j,0j
line305,299,306,(0.00010384033333333334+7.832528000000003e-06j),(0.00010384033333333337+7.832528000000002e-06j),(0.00010384033333333332+7.832527999999998e-06j),(1.4834333333333352e-06+1.9247861754782708e-23j),(1.4834333333333343e-06+1.9247861754782708e-23j),(1.4834333333333347e-06+0j),0j,0j,0j,0j,0j,0j
line306,300,307,(0.0009267416666666667+6.990280000000002e-05j),(0.0009267416666666664+6.99028e-05j),(0.0009267416666666667+6.990280000000001e-05j),(1.3239166666666677e-05+1.9163628167344235e-22j),(1.3239166666666679e-05+3.832725633468847e-22j),(1.3239166666666675e-05-3.834221691331676e-22j),0j,0j,0j,0j,0j,0j
line307,301,308,(0.0005344849999999999+4.031543999999999e-05j),(0.0005344849999999999+4.031544e-05j),(0.0005344849999999999+4.031544e-05j),(7.635500000000008e-06+6.374283860348906e-23j),(7.635500000000005e-06-6.374283860348906e-23j),(7.635500000000007e-06+0j),0j,0j,0j,0j,0j,0j
line308,302,309,(0.00036526+2.7551040000000004e-05j),(0.00036526000000000006+2.7551040000000007e-05j),(0.00036526+2.7551039999999994e-05j),(5.218000000000006e-06+1.1907609324887282e-22j),(5.218000000000004e-06+1.1907609324887282e-22j),(5.218000000000005e-06-5.956128657722934e-23j),0j,0j,0j,0j,0j,0j
line309,303,310,(0.0003308034766666666+3.164892333333333e-05j),(0.0003308034766666667+3.1648923333333334e-05j),(0.0003308034766666667+3.164892333333333e-05j),(0.00014603154666666669+2.101173333333333e-06j),(0.0001460315466666667+2.1011733333333397e-06j),(0.0001460315466666667+2.1011733333333414e-06j),0j,0j,0j,0j,0j,0j
line310,304,311,(0.00014098989666666665+2.1050250000000004e-05j),(0.00014098989666666665+2.105025e-05j),(0.00014098989666666665+2.105024999999999e-05j),(6.408631666666667e-05+5.613400000000095e-07j),(6.408631666666667e-05+5.61340000000007e-07j),(6.408631666666665e-05+5.613400000000036e-07j),0j,0j,0j,0j,0j,0j
line311,305,312,(0.0015254166666666667+0.00011506000000000001j),(0.0015254166666666669+0.00011506000000000003j),(0.0015254166666666662+0.00011505999999999996j),(2.179166666666669e-05+2.596015823495694e-22j),(2.179166666666669e-05-5.192031646991388e-22j),(2.179166666666669e-05-2.5970291467168665e-22j),0j,0j,0j,0j,0j,0j
line312,306,313,(0.00019861333333333328+1.4981119999999996e-05j),(0.0001986133333333333+1.4981119999999998e-05j),(0.00019861333333333328+1.4981119999999998e-05j),(2.837333333333336e-06-7.041531786577644e-23j),(2.837333333333336e-06+3.520765893288822e-23j),(2.8373333333333354e-06-1.4088560725836233e-22j),0j,0j,0j,0j,0j,0j
line313,307,314,(0.003919766666666666+0.0002956624j),(0.003919766666666668+0.00029566240000000006j),(0.003919766666666666+0.00029566240000000006j),(5.5996666666666726e-05-8.57078885222725e-22j),(5.599666666666671e-05+2.571236655668175e-21j),(5.599666666666672e-05+8.574134355474621e-22j),0j,0j,0j,0j,0j,0j
line314,308,315,(0.0005528133333333334+4.169792000000001e-05j),(0.0005528133333333332+4.169792000000001e-05j),(0.0005528133333333331+4.1697919999999994e-05j),(7.897333333333342e-06-1.3637895891114803e-22j),(7.897333333333338e-06+1.3637895891114803e-22j),(7.897333333333338e-06+6.82160963900112e-23j),0j,0j,0j,0j,0j,0j
line315,309,316,(0.000270445+2.0399279999999998e-05j),(0.0002704449999999999+2.0399279999999995e-05j),(0.00027044499999999996+2.0399279999999998e-05j),(3.863500000000003e-06+3.263985835973612e-23j),(3.863500000000004e-06+9.791957507920837e-23j),(3.863500000000002e-06-6.530519786339462e-23j),0j,0j,0j,0j,0j,0j
line316,310,317,(0.0007572016666666662+5.711463999999997e-05j),(0.0007572016666666666+5.711464e-05j),(0.0007572016666666666+5.711464e-05j),(1.0817166666666675e-05-1.2793326362496589e-22j),(1.0817166666666675e-05+0j),(1.0817166666666675e-05+0j),0j,0j,0j,0j,0j,0j
line317,310,318,(0.006059286566666667+0.0005797094333333334j),(0.006059286566666666+0.0005797094333333331j),(0.006059286566666667+0.0005797094333333334j),(0.002674841866666667+3.84869333333333e-05j),(0.002674841866666667+3.848693333333337e-05j),(0.002674841866666667+3.848693333333333e-05j),0j,0j,0j,0j,0j,0j
line318,311,319,(7.358681e-05+1.0986750000000001e-05j),(7.358681000000001e-05+1.0986750000000006e-05j),(7.358681000000003e-05+1.0986750000000005e-05j),(3.3448550000000014e-05+2.929800000000045e-07j),(3.344855000000002e-05+2.929800000000032e-07j),(3.344855000000002e-05+2.9298000000000346e-07j),0j,0j,0j,0j,0j,0j
line319,312,320,(0.004491083333333332+0.00033875599999999995j),(0.004491083333333334+0.00033875600000000006j),(0.004491083333333333+0.00033875599999999995j),(6.415833333333338e-05-1.125129709298785e-21j),(6.415833333333338e-05+0j),(6.415833333333339e-05+0j),0j,0j,0j,0j,0j,0j
line320,313,321,(0.0007617166666666668+5.745520000000002e-05j),(0.0007617166666666665+5.74552e-05j),(0.0007617166666666667+5.74552e-05j),(1.0881666666666675e-05+1.2946347890858645e-22j),(1.0881666666666678e-05+1.2946347890858645e-22j),(1.0881666666666673e-05+0j),0j,0j,0j,0j,0j,0j
line321,315,322,(0.0006520733333333331+4.9184959999999995e-05j),(0.0006520733333333332+4.918495999999998e-05j),(0.0006520733333333331+4.918495999999998e-05j),(9.315333333333339e-06-9.487531627005612e-23j),(9.315333333333339e-06+2.8462594881016834e-22j),(9.315333333333337e-06-1.8982469939303534e-22j),0j,0j,0j,0j,0j,0j
line322,316,323,(0.0003115233333333333+2.349776e-05j),(0.00031152333333333334+2.3497759999999998e-05j),(0.00031152333333333323+2.3497759999999988e-05j),(4.450333333333338e-06+8.661667542256573e-23j),(4.4503333333333355e-06+1.299250131338486e-22j),(4.450333333333336e-06-8.665048518895928e-23j),0j,0j,0j,0j,0j,0j
line323,317,324,(0.0038998166666666654+0.00029415759999999996j),(0.0038998166666666667+0.0002941576j),(0.0038998166666666667+0.0002941576j),(5.5711666666666704e-05+0j),(5.5711666666666704e-05+0j),(5.5711666666666704e-05+0j),0j,0j,0j,0j,0j,0j
line324,318,325,(0.0029078496333333325+0.00027820236666666656j),(0.002907849633333332+0.00027820236666666645j),(0.002907849633333333+0.0002782023666666665j),(0.001283655733333333+1.8469866666666674e-05j),(0.0012836557333333332+1.8469866666666674e-05j),(0.0012836557333333327+1.8469866666666586e-05j),0j,0j,0j,0j,0j,0j
line325,319,326,(6.299260000000002e-05+9.405000000000004e-06j),(6.29926e-05+9.405000000000002e-06j),(6.299259999999998e-05+9.404999999999996e-06j),(2.863300000000001e-05+2.5080000000000296e-07j),(2.863300000000001e-05+2.50800000000002e-07j),(2.8633000000000002e-05+2.508000000000014e-07j),0j,0j,0j,0j,0j,0j
line326,321,327,(0.002599449999999999+0.0001960727999999999j),(0.0025994499999999997+0.0001960728j),(0.0025994499999999997+0.00019607280000000002j),(3.713500000000003e-05+0j),(3.713500000000004e-05+0j),(3.713500000000003e-05+3.770793851911641e-22j),0j,0j,0j,0j,0j,0j
line327,322,328,(0.000371595+2.8028880000000007e-05j),(0.000371595+2.8028880000000004e-05j),(0.00037159499999999995+2.8028880000000004e-05j),(5.308500000000006e-06+1.848635677601624e-22j),(5.3085000000000035e-06-6.162118925338747e-23j),(5.308500000000004e-06-1.8493572700675267e-22j),0j,0j,0j,0j,0j,0j
line328,323,329,(0.00030902666666666665+2.3309439999999997e-05j),(0.00030902666666666665+2.3309439999999997e-05j),(0.00030902666666666665+2.3309439999999993e-05j),(4.414666666666669e-06+4.2616940385843087e-23j),(4.414666666666671e-06+1.2785082115752927e-22j),(4.414666666666669e-06-1.279007261714942e-22j),0j,0j,0j,0j,0j,0j
line329,324,330,(0.0013614999999999999+0.00010269600000000001j),(0.0013614999999999999+0.00010269600000000001j),(0.0013614999999999999+0.00010269600000000001j),(1.945000000000002e-05+4.136143977531863e-22j),(1.945000000000002e-05+2.0680719887659314e-22j),(1.945000000000002e-05+2.0688792355285679e-22j),0j,0j,0j,0j,0j,0j
line330,325,331,(0.010655399999999999+0.0008037216j),(0.0106554+0.0008037216000000001j),(0.010655400000000002+0.0008037216000000002j),(0.00015222000000000017+6.3334432071875035e-21j),(0.0001522200000000001+0j),(0.00015222000000000014-1.5839788474395227e-21j),0j,0j,0j,0j,0j,0j
line331,325,332,(0.005603011699999999+0.0005360562999999999j),(0.005603011699999999+0.0005360563j),(0.0056030116999999996+0.0005360562999999998j),(0.0024734215999999997+3.558880000000001e-05j),(0.0024734215999999993+3.558879999999989e-05j),(0.0024734215999999993+3.558879999999989e-05j),0j,0j,0j,0j,0j,0j
line332,326,333,(7.164277999999999e-05+1.0696499999999995e-05j),(7.164277999999998e-05+1.0696499999999993e-05j),(7.164277999999998e-05+1.0696499999999993e-05j),(3.25649e-05+2.8523999999999966e-07j),(3.25649e-05+2.8524000000000093e-07j),(3.256489999999999e-05+2.85239999999999e-07j),0j,0j,0j,0j,0j,0j
line333,328,334,(0.001678716666666667+0.0001266232j),(0.0016787166666666666+0.0001266232j),(0.0016787166666666661+0.0001266232j),(2.3981666666666685e-05-6.2880380504016575e-22j),(2.3981666666666685e-05+3.1440190252008287e-22j),(2.3981666666666688e-05+3.145246254810604e-22j),0j,0j,0j,0j,0j,0j
line334,329,335,(0.002714833333333333+0.000204776j),(0.0027148333333333334+0.0002047760000000001j),(0.0027148333333333326+0.000204776j),(3.8783333333333366e-05+0j),(3.8783333333333366e-05-4.1113714062072295e-22j),(3.878333333333337e-05+4.112976230060407e-22j),0j,0j,0j,0j,0j,0j
line335,330,336,(0.002963216666666666+0.00022351119999999995j),(0.002963216666666667+0.00022351120000000006j),(0.0029632166666666666+0.0002235112j),(4.233166666666671e-05+9.796189471265797e-22j),(4.23316666666667e-05+4.8980947356328985e-22j),(4.23316666666667e-05+4.900006647374806e-22j),0j,0j,0j,0j,0j,0j
line336,331,337,(0.004220066666666667+0.0003183136000000001j),(0.004220066666666667+0.00031831360000000007j),(0.004220066666666666+0.00031831359999999996j),(6.028666666666674e-05+1.9868678598558623e-21j),(6.0286666666666714e-05-9.934339299279312e-22j),(6.028666666666673e-05-9.938217047869223e-22j),0j,0j,0j,0j,0j,0j
line337,332,338,(0.00794115+0.0005989896000000001j),(0.00794115+0.0005989896000000002j),(0.007941150000000001+0.0005989896000000003j),(0.00011344500000000012-1.7588838795948972e-21j),(0.00011344500000000012-3.5177677591897944e-21j),(0.00011344500000000013+0j),0j,0j,0j,0j,0j,0j
line338,332,339,(0.0010184317000000002+9.743629999999999e-05j),(0.0010184317000000002+9.743630000000003e-05j),(0.0010184317000000002+9.743630000000007e-05j),(0.0004495816000000002+6.468800000000034e-06j),(0.00044958160000000026+6.46880000000001e-06j),(0.0004495816000000003+6.4688000000000235e-06j),0j,0j,0j,0j,0j,0j
line339,333,340,(5.644217333333333e-05+8.426999999999996e-06j),(5.644217333333333e-05+8.426999999999999e-06j),(5.644217333333335e-05+8.427000000000002e-06j),(2.565553333333333e-05+2.247200000000023e-07j),(2.5655533333333335e-05+2.247200000000007e-07j),(2.565553333333334e-05+2.2472000000000232e-07j),0j,0j,0j,0j,0j,0j
line340,334,341,(0.0006533216666666666+4.9279119999999995e-05j),(0.0006533216666666668+4.927912000000001e-05j),(0.0006533216666666668+4.927912e-05j),(9.333166666666676e-06+5.7143354280197205e-22j),(9.333166666666677e-06+2.8571677140098603e-22j),(9.333166666666676e-06-1.905521983131398e-22j),0j,0j,0j,0j,0j,0j
line341,335,342,(0.005549483333333333+0.0004185896j),(0.0055494833333333314+0.00041858959999999985j),(0.005549483333333332+0.00041858959999999996j),(7.92783333333334e-05-8.589650086087752e-22j),(7.927833333333342e-05+3.435860034435101e-21j),(7.927833333333337e-05+3.4372011806353945e-21j),0j,0j,0j,0j,0j,0j
line342,336,343,(0.002428999999999999+0.00018321599999999996j),(0.0024289999999999997+0.00018321600000000002j),(0.002428999999999999+0.00018321599999999996j),(3.470000000000003e-05-9.873625475458802e-22j),(3.470000000000003e-05+0j),(3.470000000000003e-05+0j),0j,0j,0j,0j,0j,0j
line343,336,344,(0.0011428666666666665+8.620479999999998e-05j),(0.0011428666666666667+8.620480000000003e-05j),(0.0011428666666666665+8.620479999999999e-05j),(1.6326666666666684e-05+4.371623459319649e-22j),(1.632666666666668e-05+1.4572078197732164e-22j),(1.632666666666668e-05-1.4577766231327666e-22j),0j,0j,0j,0j,0j,0j
line344,338,345,(0.00399245+0.0003011448j),(0.00399245+0.0003011448000000001j),(0.00399245+0.0003011448000000001j),(5.7035000000000046e-05+1.7783176246849742e-21j),(5.703500000000004e-05+0j),(5.7035000000000046e-05+0j),0j,0j,0j,0j,0j,0j
